title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,time_slots
2025 Lord Tennyson Halloween Howl,"It's back! Click to get tickets to the 2025 Lord Tennyson Halloween Howl! Make sure to come in your favourite costume. Tickets are on sale Sunday, October 19th at 8 pm. Everyone attending, including preschoolers and volunteers, must buy a ticket. This year, there is a limit of 4 tickets per family, and only Tennyson students, their parents/guardian and siblings Grade 7 or under can attend. We are doing this to try and give more Tennyson students a chance to come. Please email pac@lordtennyson.ca if you have more than 2 kids grade 7 and under who would like to attend.",https://www.showpass.com/2025-lord-tennyson-halloween-howl/,$8.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/lord-tennyson-pac/img-banner/90485b57-5bf.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/lord-tennyson-pac/img-banner/90485b57-5bf.png""]",PDT,"[""Lord Tennyson PAC""]",,2650 Maple Street,Vancouver,British Columbia,,Canada,,,pac@lordtennyson.ca,https://www.showpass.com/o/lord-tennyson-pac/,,"[""October 30, 2025, 6:00 PM PDT""]"
KPop Demon Hunters,"Hollywood Theatre Presents KPop Demon Hunters - A Sing Along Event. Back by popular demand on Halloween weekend, seal the Honmoon and sing your favorite ""KPop Demon Hunters"" songs with HUNTR/X and the Saja Boys in this full-length, sing-along version of the Netflix hit film. All Ages welcome, 19+ bar available.",https://www.showpass.com/o/hollywood-theatre/,$13.91 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hollywood-theatre/img-banner/04413528-c04.png,"[""https://doavub8d2uzrx.cloudfront.net/media/files/temp/cf280ad5-ea89-4753-b218-94ee132d35a6/264dd1ff-d44.jpg""]",America/Vancouver,"[""Hollywood Theatre""]",,3123 W Broadway,Vancouver,British Columbia,,Canada,,,kristy@hollywoodtheatre.ca,,,"[""Saturday Nov 1st, 2025 @ 2:45 PM PDT"", ""Sunday Nov 2nd, 2025 @ 4:30 PM PST""]"
GHOSTS OF THE PAST,"Get ready for Calgary’s ultimate Halloween Rager at National on 10th on Saturday November 1st. With thousands of people taking over all floors, it will be the Biggest Halloween Party in Calgary that night. The night will have over $5,000+ in upgraded event production changing the main floor set up to include a huge stage with extra speakers, tons of lights, CO2 Cannons, and full-screen Halloween visuals walls. Expect high-energy vibes with DJ Dillon spinning from 9PM ‘till close— a mix of Throwback Hits and Halloween classics. The entire building will be cleared of tables on the main floor and at the bowling alley to have two massive dance floors. Ghosts of the Past is back and will be the biggest Halloween Party in Calgary again this year! This event is 18+ - Please bring a valid ID. Tickets will be cheaper than cover at the door. All Ticket Holders will also get a priority entry line. Please DM @events_yyc for any requests/questions/concerns regarding this event.",https://www.showpass.com/,$5.35 - $21.40 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/f7ba45bd-82c.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/f7ba45bd-82c.png""]",America/Edmonton,"[""Exclusive Events""]",,341 10 Ave SW,Calgary,Alberta,,Canada,,,,,,"[""November 1, 2025, 8:00 PM MDT - 2:00 AM MST""]"
CRAWLLOWEEN 2025,CRAWLLOWEEN 2025 in Calgary.,https://www.showpass.com/crawlloween/,$10 - $20 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/1f467fa7-aba.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/1f467fa7-aba.png""]",America/Edmonton,,,,Calgary,Alberta,,Canada,,,,,,"[""October 30, 2025, 8:00 PM MDT""]"
HALLOWEEN HAUNTED HOUSE,HALLOWEEN HAUNTED HOUSE in Calgary.,https://www.showpass.com/haunted-yyc/,$10.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/4c1ac954-906.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/4c1ac954-906.png""]",America/Edmonton,,,,Calgary,Alberta,,Canada,,,,,,"[""October 31, 2025, 8:00 PM MDT""]"
SINDUSTRY NIGHT RAVE,SINDUSTRY NIGHT RAVE in Calgary.,https://www.showpass.com/sindustry/,$10 - $15 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/5eaf0987-d82.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/exclusive-events/img-banner/5eaf0987-d82.png""]",America/Edmonton,,,,Calgary,Alberta,,Canada,,,,,,"[""November 2, 2025, 9:00 PM MST""]"
General Admission - August 22 (Australia),"The International Fireworks Festival and the OneWorld Festival presented by TD returns to Elliston Park in the summer of 2026. The OneWorld Festival sees the return of the cultural pavilions, performance stages with live multi-cultural entertainment, a kid’s area with activities for the little ones, night market vendors and a delicious selection of international food vendors to complete your outdoor festival experience. The presenting pyrotechnic teams for the International Fireworks Festival are: Thursday, August 20 – China (2025 Champion) Saturday, August 22 – Australia Tuesday, August 25 – Chile Thursday, August 27 – South Africa Saturday, August 29 – Canada (Finale) Children aged 5 and under are admitted free when accompanied by an adult. Park gates open at 6pm, last admission is at 9:15, fireworks commence after sunset, between 9:30pm and 10pm. GlobalFest is an outdoor festival, and we go ahead rain or shine. The pyromusical presentation is only postponed if there are high winds or electrical storms. There is NO parking available at Elliston Park. Both General Admission ticket holders and VIP Pass holders have a return shuttle service from offsite parking lots to GlobalFest. Please visit GlobalFest FAQ at https://globalfest.ca/faq/ for more information.",https://www.showpass.com/general-admission-august-22-australia/,$16.45 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/globalfest/img-banner/d270d5cb-6e8.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/globalfest/img-banner/d270d5cb-6e8.png""]",America/Edmonton,"[""GlobalFest""]","[""TD""]",Elliston Park,Calgary,Alberta,,Canada,,,admin@globalfest.ca,https://globalfest.ca/faq/,,"[""August 22, 2026, 6:00 PM MDT""]"
12 Hour Halloween Horror Movie Marathon 2025,"Due to overwhelming demand, we added a second screen. Tickets now on sale for upper cinema. The Saturday before Halloween, join us at the Globe Cinema for our annual 12-Hour Horror Movie Marathon fundraising event! Stay awake all night and enjoy 7 movies from 7pm until 7am the next morning, including a costume contest, and other surprises throughout the night.",https://www.showpass.com/o/cuff/,$25.41 - $27.56 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/cuff/img-banner/fa208faf-92f.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/cuff/img-banner/fa208faf-92f.png""]",America/Edmonton,"[""Calgary Underground Film Festival""]",,617 8 Ave SW,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/cuff/,,"[""Saturday Oct 25th, 2025 @ 7:00 PM MDT"", ""Sunday Oct 26th, 2025 @ 7:00 AM MDT""]"
Once Upon a Time on Halloween : A Party by Sweet Loretta,"This Halloween, Sweet Loretta goes full Tarantino. Two floors of chaos, glamour, and blood-red neon. Bring your best Tarantino fit, but keep it classy—please avoid costumes tied to hate groups or sensitive history. Ivan Rankic spins upstairs while Rob Faust takes over OTTO. Wall-to-wall DJs until the clock bleeds out, with dance floors packing more twist than Jack Rabbit Slim’s. And for the best dressed killers, lovers, and outlaws? A massive Tarantino prize pack valued at over $300 awaits one ultimate winner. XO, Loretta",https://www.showpass.com/o/sweet-loretta-bar/,$23.13 - $28.39 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/sweet-loretta-bar/img-banner/da40f255-d0d.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/sweet-loretta-bar/img-banner/4dac94da-0ba.png""]",MDT,"[""Sweet Loretta Bar""]",,715 11 Ave SW,Calgary,Alberta,,Canada,,,,,,"[""October 31, 2025, 9:00 PM MDT""]"
Once Upon a Time on Halloween: Vol. 2 – A Sequel by Sweet Loretta,,https://www.showpass.com/once-upon-a-time-on-halloween-vol-2-a-sequel-by-sweet-loretta/,$15 - $20 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/sweet-loretta-bar/img-banner/4dac94da-0ba.png,,MDT,"[""Sweet Loretta Bar""]",,,Calgary,Alberta,,Canada,,,,,,"[""November 1, 2025, 9:00 PM MDT""]"
