Province,Website Name,Category,Website URL,Type,Notes,Verified by,Difficulty,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
National,Destination Canada,Federal Tourism (National DMO),https://www.destinationcanada.com/en-ca/events,,"Event page exist, but donot have any data that we can use here. crawling not allowed for links with /api/.",Saurav,,,,,,,,,,,,,,,,,,
National,Startup Canada,Entrepreneur Network,https://www.startupcan.ca,,"Events exist, but robots.txt restricts crawling of action/query URLs. Static HTML event listings can still be parsed. REST API endpoint /wp-json may exist but should be checked for accessibility.",Saurav,Hard,,,,,,,,,,,,,,,,,
National,Startup TNT,Startup Investment/Pitch Organization,https://startuptnt.com/events,,Squarespace robots.txt blocks AI bots and JSON endpoints. Data extraction possible from standard HTML event pages; use sitemap for indexing.,Saurav,Hard,,,,,,,,,,,,,,,,,
National,Womens Enterprise,Women's Network,http://www.womensenterprise.ca/,,"Website not accessible, maybe expired hosting.",Saurav,-,,,,,,,,,,,,,,,,,
National,Eventbrites,Event Aggregator,https://www.eventbrite.com/,,Dynamic event platform. Public API available. Events accessible without login. Robots.txt allows crawling of core pages (only minor bot rules and crawl-delay). Sitemap provided. Target event data present.,Saurav,Hard,,,,,,,,,,,,,,,,,
National,Showpass Canada,Ticketing Platform - Sports & Festivals,https://www.showpass.com/s/events/all/,,"Public API allowed in /api/. Admin and private paths blocked. Many bots denied, use a custom User-Agent. Extract events via API, not HTML.",Saurav,Medium,,,,,,,,,,,,,,,,,
National,Luma,Event Aggregator,https://lu.ma,,No robots.txt restrictions. Use page scraping or check for a hidden API.,Saurav,Hard,,,,,,,,,,,,,,,,,
National,Meetup (Canada),Event Aggregator,https://www.meetup.com/cities/ca/,,Many API/feed endpoints disallowed. Use public HTML pages; avoid crawling feeds or URLs with query parameters.,Saurav,Hard,,,,,,,,,,,,,,,,,
National,Women's Enterprise Centre (BC),Women's Network,https://www.womensenterprise.ca,,"Requires login, nothig publicly available",Saurav,Hard,,,,,,,,,,,,,,,,,
National,Women Entrepreneurs of Saskatchewan (WESK),Women's Network,,,"Events available publicly. No clear REST API, but Google Calendar/ICS feeds provide structured event data.",Saurav,Medium,,,,,,,,,,,,,,,,,
National,Canadian Elite Basketball League (CEBL),Professional Sports League,https://www.cebl.ca/schedule,,No robots.txt restrictions detected. No public API found. Use HTML scraping or calendar feed via “Add to Calendar” links.,Saurav,Medium,,,,,,,,,,,,,,,,,
National,Meetup Canada,Event Aggregator - Local Groups,https://www.meetup.com/cities/ca/,,Many API/feed endpoints disallowed. Use public HTML pages; avoid crawling feeds or URLs with query parameters.,Saurav,Medium,,,,,,,,,,,,,,,,,
National,Canada Running Series,Marathons & Road Races,https://www.canadarunningseries.com/,,Events data only via HTML pages; no API discovered.,Saurav,Medium,,,,,,,,,,,,,,,,,
National,Canadian Football League (CFL),Professional Sports League,https://www.cfl.ca/schedule/,,Stats and league leaders can be crawled. Query-parameter URLs blocked. Must respect 10s crawl delay.,Saurav,Medium,,,,,,,,,,,,,,,,,
National,Hockey Canada - Events,National Hockey Tournaments,,,Do not hit AJAX stats endpoints or disallowed file patterns. Stick to public championship pages without blocked paths or queries.,Saurav,Medium,,,,,,,,,,,,,,,,,
,,,https://www.showpass.com/,,,,,,,,,,,,,,,,,,,,,
Alberta,Airdrie Chamber of Commerce,Chamber events,https://www.airdriechamber.ab.ca,,GrowthZone chamber events calendar; public access,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Airdrie Economic Development,Municipal events,https://www.airdrie.ca,,Municipal site with dynamic event calendar; no public API,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Calgary Chamber of Commerce,Chamber events,https://www.calgarychamber.com,,Chamber event calendar; dynamic site; no public API,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Calgary Economic Development,Economic development,https://calgaryeconomicdevelopment.com,,Economic events & programs; dynamic site; no API,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Platform Calgary,Tech & innovation hub,https://platformcalgary.com,,Tech hub events calendar; site sometimes returns 502,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Startup TNT,Startup investment/events,https://startuptnt.com,,"Startup events (happy hours, summits); dynamic navigation",Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Ticketmaster Sports (Calgary),Sports events,https://www.ticketmaster.ca/discover/sports/calgary,,Sports tickets listing; dynamic site,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,Visit Calgary,Tourism events,https://www.visitcalgary.com,,Tourism event calendar; dynamic site,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Edmonton Chamber of Commerce,Chamber events,https://www.edmontonchamber.com,,Chamber events via GrowthZone; dynamic site,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Edmonton Global,Economic development,https://edmontonglobal.ca,,Economic events; robots restrict /calendar/action and queries,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Explore Edmonton,Tourism events,https://exploreedmonton.com,,Tourism events calendar; API path /api/ disallowed,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Startup Edmonton,Startup/innovation hub,https://www.startupedmonton.com,,Startup hub; site unreachable (502),Saurav,-,,,,,,,,,,,,,,,,,
Alberta,Ticketmaster Sports (Edmonton),Sports events,https://www.ticketmaster.ca/discover/sports/edmonton,,Sports tickets listing; dynamic site,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,City of Grande Prairie (Business),Economic Development / Business Resources,https://cityofgp.com/business,,City-run business resources page; dynamic Drupal site with information and tools for businesses; no dedicated API.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Grande Prairie Chamber of Commerce,Chamber / Business Events,https://grandeprairiechamber.com,,"WordPress site using GrowthZone/ChamberMaster. Provides public chamber events and resources; robots allow general crawling, except admin area.",Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Grande Prairie Tourism (GPTourism),Tourism / Events,https://gptourism.ca,,Tourism site with member events section and events calendar; dynamic navigation; no known API.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Startup TNT,Startup investment / events,https://www.startuptnt.com,,"Dynamic site with event listings (happy hours, summits). No API; public events accessible.",Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Choose Lethbridge,Economic development,https://chooselethbridge.ca,,WordPress site with business and investment resources; robots disallow some wp-content areas but allow general crawling.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Lethbridge Chamber of Commerce,Chamber / events,https://lethbridgechamber.com,,Runs on GrowthZone; public events calendar with membership and advocacy info; robots restrict certain query parameters but allow overall access.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Lethbridge Sport Council,Sports & community events,https://lethbridgesportcouncil.ca/events,,Event page lists community sports events and descriptions; accessible without login; no API.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Invest Medicine Hat (Medicine Hat Economic Development),Economic development / business,https://investmedicinehat.ca,,Site has migrated to medicinehat.ca/economic-development; dynamic and under transition. Limited accessibility during migration; business resources provided.,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,Medicine Hat Chamber of Commerce,Chamber / events,https://www.medicinehatchamber.com,,Site redirects to Southeast Alberta Chamber of Commerce event calendar; provides networking and business events. Original site may experience connectivity issues.,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,Tourism Medicine Hat,Tourism & events,https://www.tourismmedicinehat.com,,Tourism site with an events calendar listing local events such as Reconnecting to Play and Afternoon Movie. Public access; no API.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Red Deer Chamber of Commerce,Chamber events,https://www.reddeerchamber.com,,"Chamber site (branded Southeast Alberta) with membership, advocacy and events menu. Public access; no API.",Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,City of Red Deer – Business,Government / business resources,https://www.reddeer.ca/business,,City website providing business development information and resources. Public content; dynamic page without API.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Visit Red Deer,Tourism events,https://visitreddeer.com,,Tourism site advertising events and festivals in Red Deer. Current site difficult to access; search snippets show listings like Oktoberfest Comedy Night and Magic Festival.,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,St. Albert & District Chamber of Commerce,Chamber events,https://stalbertchamber.com,,Site uses ChamberMaster; event calendar found at with categories like breakfast meetings and business after hours,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,City of St. Albert – Business,Government / business resources,https://stalbert.ca/business,,City site with business resources and links to community event calendars. Site may be inaccessible; search results reference community event and recreation calendars.,Saurav,High,,,,,,,,,,,,,,,,,
Alberta,Alberta Winter Games,Sports event / games,https://www.albertawintergames.ca,,Provincial sport games site promoting the 2026 Alberta Winter Games; includes sport information and resource pages.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Alberta Winter Games,Sports event / games,https://www.albertawintergames.ca,,Provincial sport games site promoting the 2026 Alberta Winter Games; includes sport information and resource pages.,Saurav,Medium,,,,,,,,,,,,,,,,,
Alberta,Athletics Alberta – Track & Field Calendar,Sports event calendar,https://athleticsalberta.com/calendar/track-field,,Official Athletics Alberta calendar with search and view navigation; lists events such as CALTAF Throws Fest. Publicly accessible without login.,Saurav,Medium,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia,Abbotsford Chamber of Commerce,Business Events,https://www.abbotsfordchamber.com/,,"Dedicated Events Calendar lists event details (title, date, registration).
Focused on business community engagement in Abbotsford.",Madhavi,Medium,,,,,,,,,,,,,,,,,
British Columbia,Tourism Abbotsford,Tourism Business,https://tourismabbotsford.ca/,,"Dedicated Events Calendar page.
Provides structured event data (title, date, location, description).
Works as a central hub for Abbotsford tourism and festivals.",Madhavi,Easy,,,,,,,,,,,,,,,,,
British Columbia,Burnaby Board of Trade (BBOT),Business Events,https://www.bbot.ca/,,"Event registrations may link to external services.
Key representative of Burnaby’s business community.",Madhavi,Medium,,,,,,,,,,,,,,,,,
British Columbia,Tourism Burnaby,Tourism Business,https://tourismburnaby.com/,,Strong alignment with Destination Marketing Organizations (DMOs).,Madhavi,Easy,,,,,,,,,,,,,,,,,
British Columbia,Chilliwack Chamber of Commerce,Business Events,https://www.chilliwackchamber.com,,"Uses subdomain for member functions, no public API, some data behind login, potential crawling limits",Madhavi,Moderate to High,,,,,,,,,,,,,,,,,
British Columbia,Tourism Chilliwack,Tourism Businesses,https://tourismchilliwack.com,,"Contains events, attractions, travel info, and partner data",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Visit Coquitlam,Tourism Businesses,https://visitcoquitlam.ca,,"Provides events, attractions, local guides",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tri-Cities Chamber of Commerce,Business Events,https://tricitieschamber.com,,"Business directory, member login, events",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Delta Chamber of Commerce,Business Events,https://www.deltachamber.ca,,"Member directory, events calendar, resources",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Kamloops Chamber of Commerce,Business Events,https://www.kamloopschamber.ca,,"Member directory, business events calendar",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Kamloops,Tourism Businesses,https://www.tourismkamloops.com,,"Provides attractions, events, accommodations",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Accelerate Okanagan,Business Events,https://accelerateokanagan.com,,"Startup accelerator with events, programs, resources",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Kelowna Chamber of Commerce,Business Events,https://www.kelownachamber.org,,"Chamber events, business directory",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Kelowna,Tourism Businesses,https://www.tourismkelowna.com,,"Attractions, events, tourism operators",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Greater Langley Chamber of Commerce,Business Events,https://www.langleychamber.com,,"Chamber resources, business events, directory",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Langley,Tourism Businesses,https://www.tourism-langley.ca,,"Tourism site with attractions, events",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Ridge Meadows Chamber of Commerce,Business Events,https://www.ridgemeadowschamber.com,,"Chamber events, member directory,",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Nanaimo Chamber of Commerce,Business Events,https://www.nanaimochamber.bc.ca,,"Chamber events, resources",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Nanaimo,Tourism Businesses,https://www.tourismnanaimo.com,,"Tourism site with attractions, events, and guides",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,New Westminster Chamber of Commerce,Business Events,https://www.newwestchamber.com,,GrowthZone events; follow detail pages; member login for directory,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism New Westminster,Tourism Businesses,https://tourismnewwestminster.com,,Event listings crawlable; structured fields available; some link out,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Prince George Chamber of Commerce,Business Events,https://www.pgchamber.bc.ca,,GrowthZone module; detail pages required for full event data,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Prince George,Tourism Businesses,https://tourismpg.com,,Central events calendar; crawlable; external links present,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Richmond Chamber of Commerce,Business Events,https://www.richmondchamber.ca,,GrowthZone events; structured but some fields require login,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Tourism Richmond,Tourism Businesses,https://www.visitrichmondbc.com,,Crawlable events calendar; detail pages with title/date/venue,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,City of Surrey Economic Development,Business Events,https://www.surrey.ca/business-economy,,Events surfaced under city calendar; structured fields on details,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Discover Surrey,Tourism Businesses,https://discoversurreybc.com,,Tourism listings; event pages crawlable; limited structured fields,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Surrey Board of Trade,Business Events,https://businessinsurrey.com,,GrowthZone events module; detail pages required for addresses,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,BC Tech Association,Business Events,https://wearebctech.com,,Tech events and programs listed; crawlable; no API,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Destination Vancouver,Tourism Businesses,https://www.destinationvancouver.com,,Centralized events calendar; structured detail pages; crawlable,Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Greater Vancouver Board of Trade,Business Events,https://www.boardoftrade.com,,"Large chamber with events, resources, member login,",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Launch Academy,Business Events,https://launchacademy.ca,,Startup incubator with programs and events,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Alacrity Canada,Business Events,https://www.alacritycanada.com,,Startup/innovation hub with events and resources,Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Destination Greater Victoria,Tourism Businesses,https://www.tourismvictoria.com,,"City tourism board, events, attractions",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
British Columbia,Greater Victoria Chamber of Commerce,Business Events,https://www.victoriachamber.ca,,"Chamber events, member resources, directory",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,VIATEC,Business Events,https://www.viatec.ca,,"Tech industry association with events, programs",Madhavi,Moderate,,,,,,,,,,,,,,,,,
British Columbia,Destination British Columbia (HelloBC),Tourism Businesses,https://www.hellobc.com,,"Provincial DMO site with attractions, events, tourism operators,",Madhavi,Low to Moderate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
